"","state","term","outcome","croscor","lagd"
"239","Alaska","mask","daily_vaccinations_per_million",0.168375864588602,-1
"240","Alaska","mask","daily_vaccinations_per_million",-0.294091468304104,0
"241","Alaska","qanon","daily_vaccinations",0.0388890219476779,-14
"242","Alaska","qanon","daily_vaccinations",-0.0590890550767356,-13
"243","Alaska","qanon","daily_vaccinations",0.0976598143223086,-12
"244","Alaska","qanon","daily_vaccinations",0.174475791495674,-11
"245","Alaska","qanon","daily_vaccinations",-0.0177209996345589,-10
"246","Alaska","qanon","daily_vaccinations",-0.0222989786767805,-9
"247","Alaska","qanon","daily_vaccinations",-0.0772712644853538,-8
"248","Alaska","qanon","daily_vaccinations",-0.00333242728090175,-7
"249","Alaska","qanon","daily_vaccinations",0.0656477761789904,-6
"250","Alaska","qanon","daily_vaccinations",-0.0728307201243512,-5
"251","Alaska","qanon","daily_vaccinations",-0.0629047316151045,-4
"252","Alaska","qanon","daily_vaccinations",-0.0285427435869179,-3
"253","Alaska","qanon","daily_vaccinations",-0.0239549597557011,-2
"254","Alaska","qanon","daily_vaccinations",-0.0443319664403071,-1
"255","Alaska","qanon","daily_vaccinations",-0.101153699476351,0
"256","Alaska","qanon","daily_vaccinations_per_million",0.0388575434770108,-14
"257","Alaska","qanon","daily_vaccinations_per_million",-0.0591176407748274,-13
"258","Alaska","qanon","daily_vaccinations_per_million",0.097701979417481,-12
"259","Alaska","qanon","daily_vaccinations_per_million",0.174431505253126,-11
"260","Alaska","qanon","daily_vaccinations_per_million",-0.0176652856714598,-10
"261","Alaska","qanon","daily_vaccinations_per_million",-0.0223145425715647,-9
"262","Alaska","qanon","daily_vaccinations_per_million",-0.0773271413380998,-8
"263","Alaska","qanon","daily_vaccinations_per_million",-0.0032359625481081,-7
"264","Alaska","qanon","daily_vaccinations_per_million",0.0655943656805031,-6
"265","Alaska","qanon","daily_vaccinations_per_million",-0.0728189017623029,-5
"266","Alaska","qanon","daily_vaccinations_per_million",-0.0629107486825585,-4
"267","Alaska","qanon","daily_vaccinations_per_million",-0.0285482143749635,-3
"268","Alaska","qanon","daily_vaccinations_per_million",-0.0239227119964026,-2
"269","Alaska","qanon","daily_vaccinations_per_million",-0.044414605514603,-1
"270","Alaska","qanon","daily_vaccinations_per_million",-0.101097754413125,0
"271","Alaska","social distancing","daily_vaccinations",-0.0367632291986318,-14
"272","Alaska","social distancing","daily_vaccinations",-0.0393856254473762,-13
"273","Alaska","social distancing","daily_vaccinations",-0.0159417705223083,-12
"274","Alaska","social distancing","daily_vaccinations",-0.0292979027961149,-11
"275","Alaska","social distancing","daily_vaccinations",-0.0728645094792749,-10
"276","Alaska","social distancing","daily_vaccinations",-0.0544778693680514,-9
"277","Alaska","social distancing","daily_vaccinations",-0.0410307273098068,-8
"278","Alaska","social distancing","daily_vaccinations",0.0157542314109221,-7
"279","Alaska","social distancing","daily_vaccinations",-0.0562648269158121,-6
"280","Alaska","social distancing","daily_vaccinations",-0.0439486514815624,-5
"281","Alaska","social distancing","daily_vaccinations",-0.0780038413295778,-4
"282","Alaska","social distancing","daily_vaccinations",0.0252201963615212,-3
"283","Alaska","social distancing","daily_vaccinations",0.0171601429433544,-2
"284","Alaska","social distancing","daily_vaccinations",-0.00136105089091965,-1
"285","Alaska","social distancing","daily_vaccinations",-0.0338952191556524,0
"286","Alaska","social distancing","daily_vaccinations_per_million",-0.0367540792149182,-14
"287","Alaska","social distancing","daily_vaccinations_per_million",-0.0394234293757256,-13
"288","Alaska","social distancing","daily_vaccinations_per_million",-0.015908016362,-12
"289","Alaska","social distancing","daily_vaccinations_per_million",-0.029302469587195,-11
"290","Alaska","social distancing","daily_vaccinations_per_million",-0.0728285167251467,-10
"291","Alaska","social distancing","daily_vaccinations_per_million",-0.054484787164496,-9
"292","Alaska","social distancing","daily_vaccinations_per_million",-0.0410869066435378,-8
"293","Alaska","social distancing","daily_vaccinations_per_million",0.0157907393352908,-7
"294","Alaska","social distancing","daily_vaccinations_per_million",-0.0562304674874474,-6
"295","Alaska","social distancing","daily_vaccinations_per_million",-0.0440007786401711,-5
"296","Alaska","social distancing","daily_vaccinations_per_million",-0.077964529385469,-4
"297","Alaska","social distancing","daily_vaccinations_per_million",0.0251859641575996,-3
"298","Alaska","social distancing","daily_vaccinations_per_million",0.0171955906094918,-2
"299","Alaska","social distancing","daily_vaccinations_per_million",-0.00138763708287183,-1
"300","Alaska","social distancing","daily_vaccinations_per_million",-0.0338674346269123,0
"301","Alaska","vaccine","daily_vaccinations",0.0872718651723036,-14
"302","Alaska","vaccine","daily_vaccinations",-0.116044318434164,-13
"303","Alaska","vaccine","daily_vaccinations",-0.0600380747615076,-12
"304","Alaska","vaccine","daily_vaccinations",-0.0165449954084906,-11
"305","Alaska","vaccine","daily_vaccinations",0.130528254831976,-10
"306","Alaska","vaccine","daily_vaccinations",0.0988209295723157,-9
"307","Alaska","vaccine","daily_vaccinations",-0.0488239308319358,-8
"308","Alaska","vaccine","daily_vaccinations",-0.0466896154297512,-7
"309","Alaska","vaccine","daily_vaccinations",0.0760758543972416,-6
"310","Alaska","vaccine","daily_vaccinations",0.105811607457786,-5
"311","Alaska","vaccine","daily_vaccinations",0.0494115945479396,-4
"312","Alaska","vaccine","daily_vaccinations",-0.180565712765165,-3
"313","Alaska","vaccine","daily_vaccinations",0.108182483713418,-2
"314","Alaska","vaccine","daily_vaccinations",0.155819251046209,-1
"315","Alaska","vaccine","daily_vaccinations",0.093074347273274,0
"316","Alaska","vaccine","daily_vaccinations_per_million",0.0873276081741523,-14
"317","Alaska","vaccine","daily_vaccinations_per_million",-0.116045794828633,-13
"318","Alaska","vaccine","daily_vaccinations_per_million",-0.0600255402262929,-12
"319","Alaska","vaccine","daily_vaccinations_per_million",-0.0165718646528308,-11
